number,year,vom,lat,lon,fungicide,insecticide,p_crop,tillage,hybrid_company,hybrid_name,SD,CHU,silk_CHU
149,2012,0,42.453588,-81.879377,.,.,.,.,.,.,.,.,.
150,2012,0,42.453588,-81.879377,.,.,.,.,.,.,.,.,.
151,2012,0.5,42.453588,-81.879377,.,.,.,.,.,.,.,.,.
152,2012,0,43.112681,-81.143309,.,.,.,.,.,.,.,.,.
153,2012,0,43.112681,-81.143309,.,.,.,.,.,.,.,.,.
154,2012,0,43.112681,-81.143309,.,.,.,.,.,.,.,.,.
155,2012,0,43.112681,-81.143309,.,.,.,.,.,.,.,.,.
156,2012,0,42.330108,-82.392849,.,.,.,.,.,.,.,.,.
157,2012,2,42.330108,-82.392849,.,.,.,.,.,.,.,.,.
158,2012,1.2,42.330108,-82.392849,.,.,.,.,.,.,.,.,.
159,2012,0,42.330108,-82.392849,.,.,.,.,.,.,.,.,.
160,2012,0,42.579755,-82.079486,.,.,.,.,.,.,.,.,.
161,2012,0,42.579755,-82.079486,.,.,.,.,.,.,.,.,.
162,2012,1.2,42.579755,-82.079486,.,.,.,.,.,.,.,.,.
163,2012,0,42.579755,-82.079486,.,.,.,.,.,.,.,.,.
164,2012,0,43.498449,-80.4489,.,.,.,.,.,.,.,.,.
165,2012,0,43.498449,-80.4489,.,.,.,.,.,.,.,.,.
166,2012,0,43.498449,-80.4489,.,.,.,.,.,.,.,.,.
167,2012,0,43.498449,-80.4489,.,.,.,.,.,.,.,.,.
168,2012,0,42.619744,-81.628653,.,.,.,.,.,.,.,.,.
169,2012,0,42.619744,-81.628653,.,.,.,.,.,.,.,.,.
170,2012,0,42.619744,-81.628653,.,.,.,.,.,.,.,.,.
171,2012,0,42.619744,-81.628653,.,.,.,.,.,.,.,.,.
172,2012,0,45.055955,-75.33411,.,.,.,.,.,.,.,.,.
173,2012,0,45.055955,-75.33411,.,.,.,.,.,.,.,.,.
174,2012,0,45.055955,-75.33411,.,.,.,.,.,.,.,.,.
175,2012,0,45.055955,-75.33411,.,.,.,.,.,.,.,.,.
176,2012,0,43.85051667,-81.25201667,.,.,.,.,.,.,.,.,.
177,2012,0,43.85051667,-81.25201667,.,.,.,.,.,.,.,.,.
178,2012,1.2,43.85051667,-81.25201667,.,.,.,.,.,.,.,.,.
179,2012,0.7,43.85051667,-81.25201667,.,.,.,.,.,.,.,.,.
180,2012,0,43.142169,-80.797737,.,.,.,.,.,.,.,.,.
181,2012,0,43.142169,-80.797737,.,.,.,.,.,.,.,.,.
182,2012,0,43.142169,-80.797737,.,.,.,.,.,.,.,.,.
183,2012,0,43.142169,-80.797737,.,.,.,.,.,.,.,.,.
184,2012,0,43.110946,-81.464485,.,.,.,.,.,.,.,.,.
185,2012,0,43.076098,-80.60268,.,.,.,.,.,.,.,.,.
186,2012,0,43.16614,-79.972383,.,.,.,.,.,.,.,.,.
187,2012,0,43.752141,-80.720032,.,.,.,.,.,.,.,.,.
188,2012,0,43.646759,-80.3944,.,.,.,.,.,.,.,.,.
189,2012,0,43.29445,-81.151042,.,.,.,.,.,.,.,.,.
190,2012,0,43.175592,-80.812043,.,.,.,.,.,.,.,.,.
191,2012,0,43.716333,-80.465296,.,.,.,.,.,.,.,.,.
192,2012,0,43.647535,-80.399432,.,.,.,.,.,.,.,.,.
193,2012,0,43.524826,-81.138951,.,.,.,.,.,.,.,.,.
194,2012,0,43.191543,-81.398168,.,.,.,.,.,.,.,.,.
195,2012,0,42.956572,-81.64418,.,.,.,.,.,.,.,.,.
196,2012,0,43.21997,-80.394475,.,.,.,.,.,.,.,.,.
197,2012,0,43.232017,-80.481024,.,.,.,.,.,.,.,.,.
198,2012,0,42.458436,-81.86012,.,.,.,.,.,.,.,.,.
199,2012,1,42.300262,-82.120167,.,.,.,.,.,.,.,.,.
200,2012,2.1,42.48797,-81.857032,.,.,.,.,.,.,.,.,.
201,2012,0,43.648078,-80.398661,.,.,.,.,.,.,.,.,.
202,2012,0,43.527984,-81.136826,.,.,.,.,.,.,.,.,.
203,2012,0,43.524873,-80.417243,.,.,.,.,.,.,.,.,.
204,2012,0,43.156952,-79.999214,.,.,.,.,.,.,.,.,.
205,2012,1.2,42.485422,-81.785578,.,.,.,.,.,.,.,.,.
206,2012,0,43.748653,-80.78859,.,.,.,.,.,.,.,.,.
207,2012,0,43.89081,-80.597985,.,.,.,.,.,.,.,.,.
208,2012,0,43.834341,-80.629545,.,.,.,.,.,.,.,.,.
209,2012,0,43.780189,-80.526184,.,.,.,.,.,.,.,.,.
210,2012,0,42.11305,-82.69155,.,.,.,.,.,.,.,.,.
211,2012,0,42.14715,-82.59096667,.,.,.,.,.,.,.,.,.
212,2012,0,42.26593333,-82.5094,.,.,.,.,.,.,.,.,.
213,2012,0,42.4613,-82.13166667,.,.,.,.,.,.,.,.,.
214,2012,3,42.53495,-82.0261,.,.,.,.,.,.,.,.,.
215,2012,0,42.63776667,-81.7352,.,.,.,.,.,.,.,.,.
216,2012,0,42.61918333,-81.62778333,.,.,.,.,.,.,.,.,.
217,2012,0.1,42.63925,-81.4588,.,.,.,.,.,.,.,.,.
218,2012,0,42.84305,-81.52185,.,.,.,.,.,.,.,.,.
219,2012,0,43.1061,-81.52331667,.,.,.,.,.,.,.,.,.
220,2012,0,43.4757,-81.6372,.,.,.,.,.,.,.,.,.
221,2012,0,43.28488,-81.68202,.,.,.,.,.,.,.,.,.
222,2012,0,43.6051,-81.6099,.,.,.,.,.,.,.,.,.
223,2012,0,43.736,-81.5194,.,.,.,.,.,.,.,.,.
224,2012,0,42.9408,-79.4731,.,.,.,.,.,.,.,.,.
225,2012,0,42.9232,-79.9565,.,.,.,.,.,.,.,.,.
226,2012,0,42.8266,-80.4228,.,.,.,.,.,.,.,.,.
227,2012,0,42.8422,-80.7496,.,.,.,.,.,.,.,.,.
228,2012,0,44.1162,-79.9401,.,.,.,.,.,.,.,.,.
229,2012,0,44.2617,-80.2566,.,.,.,.,.,.,.,.,.
230,2012,0,44.0915,-79.6769,.,.,.,.,.,.,.,.,.
231,2012,0,44.23063,-79.7726,.,.,.,.,.,.,.,.,.
232,2012,0,44.11125,-79.3138,.,.,.,.,.,.,.,.,.
233,2012,0,44.21506,-79.0437,.,.,.,.,.,.,.,.,.
234,2012,0,44.0997,-79.1614,.,.,.,.,.,.,.,.,.
235,2012,0,44.1891,-77.4481,.,.,.,.,.,.,.,.,.
236,2012,0,45.1307,-75.2261,.,.,.,.,.,.,.,.,.
237,2012,0,44.3484,-76.3316,.,.,.,.,.,.,.,.,.
238,2012,0,44.2482,-77.0636,.,.,.,.,.,.,.,.,.
239,2012,0,45.0557,-75.3417,.,.,.,.,.,.,.,.,.
240,2012,0,45.0557,-75.3417,.,.,.,.,.,.,.,.,.
241,2012,0,45.0557,-75.3417,.,.,.,.,.,.,.,.,.
242,2012,0,45.0557,-75.3417,.,.,.,.,.,.,.,.,.
243,2012,0,44.7927,-75.3897,.,.,.,.,.,.,.,.,.
244,2012,0,44.9267,-75.3148,.,.,.,.,.,.,.,.,.
245,2012,0,44.9078,-75.1912,.,.,.,.,.,.,.,.,.
246,2012,0,44.703116,-75.569762,.,.,.,.,.,.,.,.,.
247,2012,0,44.992944,-75.224708,.,.,.,.,.,.,.,.,.
248,2012,0,45.1066,-75.2329,.,.,.,.,.,.,.,.,.
249,2012,0,45.1066,-75.2329,.,.,.,.,.,.,.,.,.
250,2012,0,45.2621,-74.9699,.,.,.,.,.,.,.,.,.
251,2012,0,45.3889,-74.9075,.,.,.,.,.,.,.,.,.
252,2012,0,45.1392,-75.7741,.,.,.,.,.,.,.,.,.
253,2012,0,45.1997,-75.7624,.,.,.,.,.,.,.,.,.
254,2012,0,45.3175,-76.1875,.,.,.,.,.,.,.,.,.
255,2012,0,45.3175,-76.1875,.,.,.,.,.,.,.,.,.
256,2012,0,45.3519,-76.2321,.,.,.,.,.,.,.,.,.
257,2012,0,45.2151,-75.8718,.,.,.,.,.,.,.,.,.
258,2012,0,45.311,-75.7058,.,.,.,.,.,.,.,.,.
259,2012,0,44.1251,-77.8807,.,.,.,.,.,.,.,.,.
260,2012,0,44.1251,-77.8807,.,.,.,.,.,.,.,.,.
261,2012,0,44.1251,-77.8807,.,.,.,.,.,.,.,.,.
262,2012,0,44.1251,-77.8807,.,.,.,.,.,.,.,.,.
263,2012,0,43.9419,-78.6621,.,.,.,.,.,.,.,.,.
264,2012,0,43.9419,-78.6621,.,.,.,.,.,.,.,.,.
265,2012,0,43.9419,-78.6621,.,.,.,.,.,.,.,.,.
266,2012,0,43.9419,-78.6621,.,.,.,.,.,.,.,.,.
267,2012,0,44.1792,-77.6472,.,.,.,.,.,.,.,.,.
268,2012,0,44.1433,-78.4911,.,.,.,.,.,.,.,.,.
269,2012,0,43.9745,-78.8647,.,.,.,.,.,.,.,.,.
270,2012,0,44.0387,-78.1684,.,.,.,.,.,.,.,.,.
271,2013,0.2,43.713534,-80.461884,.,.,barley,reduced,.,.,5/9/2013,.,.
272,2013,0.2,43.713534,-80.461884,.,.,barley,reduced,.,.,5/9/2013,.,.
273,2013,0.63,43.713534,-80.461884,.,.,barley,reduced,.,.,5/9/2013,.,.
274,2013,1.06,43.713534,-80.461884,.,.,barley,reduced,.,.,5/9/2013,.,.
275,2013,0.2,42.835412,-81.128218,.,.,soybean,reduced,.,.,5/15/2013,.,.
276,2013,0.2,42.835412,-81.128218,.,.,soybean,reduced,.,.,5/15/2013,.,.
277,2013,0.28,42.835412,-81.128218,.,.,soybean,reduced,.,.,5/15/2013,.,.
278,2013,0.2,42.835412,-81.128218,.,.,soybean,reduced,.,.,5/15/2013,.,.
279,2013,0.2,43.65498,-81.384349,.,.,soybean,reduced,.,.,5/7/2013,.,.
280,2013,0.72,43.65498,-81.384349,.,.,soybean,reduced,.,.,5/7/2013,.,.
281,2013,0.2,43.65498,-81.384349,.,.,soybean,reduced,.,.,5/7/2013,.,.
282,2013,0.2,43.65498,-81.384349,.,.,soybean,reduced,.,.,5/7/2013,.,.
283,2013,0.2,42.55655,-82.15161,.,.,soybean,reduced,.,.,5/7/2013,.,.
284,2013,0.2,42.55655,-82.15161,.,.,soybean,reduced,.,.,5/7/2013,.,.
285,2013,0.61,42.55655,-82.15161,.,.,soybean,reduced,.,.,5/7/2013,.,.
286,2013,0.3,42.55655,-82.15161,.,.,soybean,reduced,.,.,5/7/2013,.,.
287,2013,0.2,43.550718,-81.287436,.,.,soybean,reduced,.,.,5/8/2013,.,.
288,2013,0.2,43.550718,-81.287436,.,.,soybean,reduced,.,.,5/8/2013,.,.
289,2013,0.2,43.550718,-81.287436,.,.,soybean,reduced,.,.,5/8/2013,.,.
290,2013,0.2,43.550718,-81.287436,.,.,soybean,reduced,.,.,5/8/2013,.,.
291,2013,0.52,43.649094,-80.398025,.,.,wheat,conventional,.,.,5/8/2013,.,.
292,2013,0.2,43.649094,-80.398025,.,.,wheat,conventional,.,.,5/8/2013,.,.
293,2013,0.2,43.649094,-80.398025,.,.,wheat,conventional,.,.,5/8/2013,.,.
294,2013,0.3,43.649094,-80.398025,.,.,wheat,conventional,.,.,5/8/2013,.,.
295,2013,0.25,43.274635,-81.464247,.,.,wheat,conventional,.,.,5/6/2013,.,.
296,2013,0.2,43.274635,-81.464247,.,.,wheat,conventional,.,.,5/6/2013,.,.
297,2013,0.2,43.274635,-81.464247,.,.,wheat,conventional,.,.,5/6/2013,.,.
298,2013,0.2,43.274635,-81.464247,.,.,wheat,conventional,.,.,5/6/2013,.,.
299,2013,0.33,42.931526,-81.752229,.,.,soybean,reduced,.,.,5/8/2013,.,.
300,2013,0.2,42.931526,-81.752229,.,.,soybean,reduced,.,.,5/8/2013,.,.
301,2013,3.06,42.931526,-81.752229,.,.,soybean,reduced,.,.,5/8/2013,.,.
302,2013,0.98,42.931526,-81.752229,.,.,soybean,reduced,.,.,5/8/2013,.,.
303,2013,0.2,45.194861,-74.507732,.,.,soybean,conventional,.,.,5/8/2013,.,.
304,2013,0.2,45.194861,-74.507732,.,.,soybean,conventional,.,.,5/8/2013,.,.
305,2013,0.2,45.194861,-74.507732,.,.,soybean,conventional,.,.,5/8/2013,.,.
306,2013,1.25,45.194861,-74.507732,.,.,soybean,conventional,.,.,5/8/2013,.,.
307,2013,0.77,44.321499,-78.798237,.,.,soybean,reduced,.,.,5/8/2013,.,.
308,2013,0.2,44.321499,-78.798237,.,.,soybean,reduced,.,.,5/8/2013,.,.
309,2013,0.2,44.321499,-78.798237,.,.,soybean,reduced,.,.,5/8/2013,.,.
310,2013,0.2,44.321499,-78.798237,.,.,soybean,reduced,.,.,5/8/2013,.,.
311,2013,0.23,43.896933,-80.158356,.,.,potato,reduced,.,.,5/4/2013,.,.
312,2013,0.4,43.896933,-80.158356,.,.,potato,reduced,.,.,5/4/2013,.,.
313,2013,0.35,43.896933,-80.158356,.,.,potato,reduced,.,.,5/4/2013,.,.
314,2013,0.2,43.896933,-80.158356,.,.,potato,reduced,.,.,5/4/2013,.,.
315,2013,0.2,45.38405,-75.7176,.,.,.,.,.,.,.,.,.
316,2013,0.2,45.38405,-75.7176,.,.,.,.,.,.,.,.,.
317,2013,0.2,45.38405,-75.7176,.,.,.,.,.,.,.,.,.
318,2013,0.2,45.38405,-75.7176,.,.,.,.,.,.,.,.,.
319,2013,0.85,42.453798,-81.879677,.,.,soybean,reduced,.,.,5/6/2013,.,.
320,2013,0.2,42.453798,-81.879677,.,.,soybean,reduced,.,.,5/6/2013,.,.
321,2013,0.2,42.453798,-81.879677,.,.,soybean,reduced,.,.,5/6/2013,.,.
322,2013,0.2,42.453798,-81.879677,.,.,soybean,reduced,.,.,5/6/2013,.,.
323,2013,0.63,43.114686,-81.141952,.,.,wheat,conventional,.,.,5/6/2013,.,.
324,2013,0.35,43.114686,-81.141952,.,.,wheat,conventional,.,.,5/6/2013,.,.
325,2013,0.2,43.114686,-81.141952,.,.,wheat,conventional,.,.,5/6/2013,.,.
326,2013,0.2,43.114686,-81.141952,.,.,wheat,conventional,.,.,5/6/2013,.,.
327,2013,0.2,42.333812,-82.343618,.,.,soybean,reduced,.,.,5/9/2013,.,.
328,2013,1.59,42.333812,-82.343618,.,.,soybean,reduced,.,.,5/9/2013,.,.
329,2013,0.2,42.333812,-82.343618,.,.,soybean,reduced,.,.,5/9/2013,.,.
330,2013,0.2,42.333812,-82.343618,.,.,soybean,reduced,.,.,5/9/2013,.,.
331,2013,0.26,43.498464,-80.453118,.,.,wheat,reduced,.,.,5/6/2013,.,.
332,2013,0.38,43.498464,-80.453118,.,.,wheat,reduced,.,.,5/6/2013,.,.
333,2013,0.2,43.498464,-80.453118,.,.,wheat,reduced,.,.,5/6/2013,.,.
334,2013,0.2,43.498464,-80.453118,.,.,wheat,reduced,.,.,5/6/2013,.,.
335,2013,0.2,42.61926,-81.628997,.,.,soybean,reduced,.,.,5/13/2013,.,.
336,2013,0.44,42.61926,-81.628997,.,.,soybean,reduced,.,.,5/13/2013,.,.
337,2013,6.7,42.61926,-81.628997,.,.,soybean,reduced,.,.,5/13/2013,.,.
338,2013,0.33,42.61926,-81.628997,.,.,soybean,reduced,.,.,5/13/2013,.,.
339,2013,0.35,45.052249,-75.337093,.,.,soybean,conventional,.,.,.,.,.
340,2013,0.2,45.052249,-75.337093,.,.,soybean,conventional,.,.,.,.,.
341,2013,0.24,45.052249,-75.337093,.,.,soybean,conventional,.,.,.,.,.
342,2013,0.2,45.052249,-75.337093,.,.,soybean,conventional,.,.,.,.,.
343,2013,0.78,43.850638,-81.24832,.,.,soybean,reduced,.,.,5/8/2013,.,.
344,2013,0.27,43.850638,-81.24832,.,.,soybean,reduced,.,.,5/8/2013,.,.
345,2013,0.2,43.850638,-81.24832,.,.,soybean,reduced,.,.,5/8/2013,.,.
346,2013,0.71,43.850638,-81.24832,.,.,soybean,reduced,.,.,5/8/2013,.,.
347,2013,1.62,43.143677,-80.796099,.,.,wheat,reduced,.,.,5/14/2013,.,.
